id_registro,variable,valor
6087,departamento,SOLOLA
6088,departamento,SOLOLA
6089,departamento,SOLOLA
6090,departamento,SOLOLA
6091,departamento,SOLOLA
6092,departamento,SOLOLA
6093,departamento,SOLOLA
6094,departamento,SOLOLA
6095,departamento,SOLOLA
6096,departamento,SOLOLA
6097,departamento,SOLOLA
6098,departamento,SOLOLA
6099,departamento,SOLOLA
6100,departamento,SOLOLA
6101,departamento,SOLOLA
6102,departamento,SOLOLA
6103,departamento,SOLOLA
6104,departamento,SOLOLA
6105,departamento,SOLOLA
6106,departamento,SOLOLA
6107,departamento,SOLOLA
6108,departamento,SOLOLA
6109,departamento,SOLOLA
6110,departamento,SOLOLA
6111,departamento,SOLOLA
6112,departamento,SOLOLA
6113,departamento,SOLOLA
6114,departamento,SOLOLA
6115,departamento,SOLOLA
6116,departamento,SOLOLA
6117,departamento,SOLOLA
6118,departamento,SOLOLA
6119,departamento,SOLOLA
6120,departamento,SOLOLA
6121,departamento,SOLOLA
6122,departamento,SOLOLA
6123,departamento,SOLOLA
6124,departamento,SOLOLA
6125,departamento,SOLOLA
6126,departamento,SOLOLA
6127,departamento,SOLOLA
6128,departamento,SOLOLA
6129,departamento,SOLOLA
6130,departamento,SOLOLA
6131,departamento,SOLOLA
6132,departamento,SOLOLA
6133,departamento,SOLOLA
6134,departamento,SOLOLA
6135,departamento,SOLOLA
6136,departamento,SOLOLA
6137,departamento,SOLOLA
6138,departamento,SOLOLA
6139,departamento,SOLOLA
6140,departamento,SOLOLA
6141,departamento,SOLOLA
6142,departamento,SOLOLA
6143,departamento,SOLOLA
6144,departamento,SOLOLA
6145,departamento,SOLOLA
6146,departamento,SOLOLA
6147,departamento,SOLOLA
6148,departamento,SOLOLA
6149,departamento,SOLOLA
6150,departamento,SOLOLA
6151,departamento,SOLOLA
6152,departamento,SOLOLA
6153,departamento,SOLOLA
6154,departamento,SOLOLA
6155,departamento,SOLOLA
6156,departamento,SOLOLA
6157,departamento,SOLOLA
6158,departamento,SOLOLA
6159,departamento,SOLOLA
6160,departamento,SOLOLA
6161,departamento,SOLOLA
6162,departamento,SOLOLA
6163,departamento,SOLOLA
6164,departamento,SOLOLA
6165,departamento,SOLOLA
6166,departamento,SOLOLA
6167,departamento,SOLOLA
6168,departamento,SOLOLA
6169,departamento,SOLOLA
6170,departamento,SOLOLA
6171,departamento,SOLOLA
6172,departamento,SOLOLA
6173,departamento,SOLOLA
6174,departamento,SOLOLA
6175,departamento,SOLOLA
6176,departamento,SOLOLA
6177,departamento,SOLOLA
6178,departamento,SOLOLA
6179,departamento,SOLOLA
6180,departamento,SOLOLA
6181,departamento,SOLOLA
6182,departamento,SOLOLA
6183,departamento,SOLOLA
6184,departamento,SOLOLA
6185,departamento,SOLOLA
6186,departamento,SOLOLA
6187,departamento,SOLOLA
6188,departamento,SOLOLA
6189,departamento,SOLOLA
6190,departamento,SOLOLA
6191,departamento,SOLOLA
6192,departamento,SOLOLA
6193,departamento,SOLOLA
6194,departamento,SOLOLA
6195,departamento,SOLOLA
6196,departamento,SOLOLA
6197,departamento,SOLOLA
6198,departamento,SOLOLA
6199,departamento,SOLOLA
6200,departamento,SOLOLA
6201,departamento,SOLOLA
6202,departamento,SOLOLA
6203,departamento,SOLOLA
6204,departamento,SOLOLA
6205,departamento,SOLOLA
6206,departamento,TOTONICAPAN
6207,departamento,TOTONICAPAN
6208,departamento,TOTONICAPAN
6209,departamento,TOTONICAPAN
6210,departamento,TOTONICAPAN
6211,departamento,TOTONICAPAN
6212,departamento,TOTONICAPAN
6213,departamento,TOTONICAPAN
6214,departamento,TOTONICAPAN
6215,departamento,TOTONICAPAN
6216,departamento,TOTONICAPAN
6217,departamento,TOTONICAPAN
6218,departamento,TOTONICAPAN
