id_registro_a,id_registro_b,codigo_a,codigo_b,establecimiento_a,establecimiento_b,jornada_a,jornada_b,plan_a,plan_b,score,decision
10333,10363,17-10-0243-46,17-10-0369-46,"INSTITUTO PRIVADO MIXTO "" LA REYNITA""",INSTITUTO PRIVADO MIXTO LA REINITA,VESPERTINA,SIN JORNADA,DIARIO(REGULAR),SEMIPRESENCIAL (UN DÍA A LA SEMANA),93.0,
2556,2747,01-08-0496-46,01-08-1054-46,CENTRO EDUCATIVO FE Y ALEGRIA NO. 2,CENTRO EDUCATIVO FE Y ALEGRÍA NO. 44,MATUTINA,MATUTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.0,
1768,1786,00-13-0024-46,00-13-0691-46,INSTITUTO DE BACHILLERATO EN COMPUTACION,INSTITUTO DE BACHILLERATO EN COMPUTACION -IBC-,MATUTINA,MATUTINA,FIN DE SEMANA,DIARIO(REGULAR),93.0,
1769,1786,00-13-0025-46,00-13-0691-46,INSTITUTO DE BACHILLERATO EN COMPUTACION,INSTITUTO DE BACHILLERATO EN COMPUTACION -IBC-,MATUTINA,MATUTINA,FIN DE SEMANA,DIARIO(REGULAR),93.0,
1768,1820,00-13-0024-46,00-13-9682-46,INSTITUTO DE BACHILLERATO EN COMPUTACION,INSTITUTO DE BACHILLERATO EN COMPUTACION -IBC-,MATUTINA,DOBLE,FIN DE SEMANA,DIARIO(REGULAR),93.0,
3688,3805,01-15-6187-46,01-15-9415-46,CENTRO CRISTIANO EDUCACIONAL VIDA S.A.,CENTRO CRISTIANO EDUCACIONAL VIDA,MATUTINA,DOBLE,DIARIO(REGULAR),FIN DE SEMANA,93.0,
393,847,00-01-0819-46,00-01-9780-46,COLEGIO VALVERDE NO. 2,COLEGIO VALVERDE NO.2,SIN JORNADA,DOBLE,SEMIPRESENCIAL (FIN DE SEMANA),FIN DE SEMANA,93.0,
10197,10216,17-05-0337-46,17-05-4067-46,ESCUELA NORMAL CON ORIENTACION AMBIENTAL-ENCA-,ESCUELA NORMAL CON ORIENTACION AMBIENTAL,SIN JORNADA,DOBLE,SEMIPRESENCIAL (UN DÍA A LA SEMANA),FIN DE SEMANA,93.0,
393,850,00-01-0819-46,00-01-9789-46,COLEGIO VALVERDE NO. 2,COLEGIO VALVERDE NO.2,SIN JORNADA,MATUTINA,SEMIPRESENCIAL (FIN DE SEMANA),DIARIO(REGULAR),93.0,
10184,10197,17-05-0306-46,17-05-0337-46,ESCUELA NORMAL CON ORIENTACION AMBIENTAL,ESCUELA NORMAL CON ORIENTACION AMBIENTAL-ENCA-,DOBLE,SIN JORNADA,FIN DE SEMANA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),93.0,
10197,10210,17-05-0337-46,17-05-3658-46,ESCUELA NORMAL CON ORIENTACION AMBIENTAL-ENCA-,ESCUELA NORMAL CON ORIENTACION AMBIENTAL,SIN JORNADA,VESPERTINA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),DIARIO(REGULAR),93.0,
10183,10197,17-05-0305-46,17-05-0337-46,ESCUELA NORMAL CON ORIENTACION AMBIENTAL,ESCUELA NORMAL CON ORIENTACION AMBIENTAL-ENCA-,DOBLE,SIN JORNADA,FIN DE SEMANA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),93.0,
393,849,00-01-0819-46,00-01-9788-46,COLEGIO VALVERDE NO. 2,COLEGIO VALVERDE NO.2,SIN JORNADA,MATUTINA,SEMIPRESENCIAL (FIN DE SEMANA),DIARIO(REGULAR),93.0,
